section,variant,threads,run1_cold_s,run2_s,run3_s,avg_s,s_emp,s_theo,delta,max_steps,checksum,hits,throughput_iter_s,penalty_ratio,notes
phase2,sequential,1,2.795305400,3.051807300,3.068127300,3.059967300,1.000000000,1.000000000,0.000000000,688,81125184,10607259,4301679.956,,warmup discarded
phase3,java_static,1,3.285280800,3.305904500,3.085860700,3.195882600,0.957471748,1.000000000,0.042528252,688,81125184,10607259,4118737.027,,Java fixed thread ranges
phase3,java_static,2,1.752242200,1.714909200,1.733035400,1.723972300,1.774951546,1.774951546,0.000000000,688,81125184,10607259,7635273.490,,Java fixed thread ranges
phase3,java_static,4,0.918732200,0.868976100,0.805103900,0.837040000,3.655700205,2.897765458,-0.757934747,688,81125184,10607259,15725652.299,,Java fixed thread ranges
phase3,java_static,8,0.470885000,0.468337200,0.464033800,0.466185500,6.563840574,4.238322449,-2.325518126,688,81125184,10607259,28235541.431,,Java fixed thread ranges
phase3,java_static,16,0.329185400,0.359726700,0.349551500,0.354639100,8.628397997,5.513686318,-3.114711678,688,81125184,10607259,37116606.714,,Java fixed thread ranges
phase4a,java_naive_long_array,16,,,,0.396742800,,,,688,81125184,10607259,33177665.732,0.718401182,shared long[] hits[tid]++
phase4a,java_padded_counter,16,,,,0.552258000,,,,688,81125184,10607259,23834874.280,1.000000000,padded per-thread counter
phase4b,static_default,16,,,,0.541831400,,,,688,81125184,10607259,24293534.852,,contiguous fixed ranges
phase4b,static_1000,16,,,,0.637775600,,,,688,81125184,10607259,20638920.649,,round-robin 1000-item chunks
phase4b,dynamic_100,16,,,,0.515695700,,,,688,81125184,10607259,25524742.595,,AtomicLong work queue, chunk 100
phase4b,dynamic_10000,16,,,,0.513364000,,,,688,81125184,10607259,25640676.012,,AtomicLong work queue, chunk 10000
phase4b,guided,16,,,,0.540193300,,,,688,81125184,10607259,24367203.370,,decreasing chunk size
